,city,province,country,confirm,dead,heal,suspect,update_time
416,乌海,内蒙古,中国,2,0,0,0,2020-02-21 15:39:51
417,兴安盟乌兰浩特,内蒙古,中国,1,0,0,0,2020-02-21 15:39:51
418,银川,宁夏,中国,33,0,27,0,2020-02-21 15:39:51
419,吴忠,宁夏,中国,28,0,9,0,2020-02-21 15:39:51
420,固原,宁夏,中国,5,0,3,0,2020-02-21 15:39:51
421,中卫,宁夏,中国,3,0,3,0,2020-02-21 15:39:51
422,石嘴山,宁夏,中国,1,0,1,0,2020-02-21 15:39:51
423,宁东管委会,宁夏,中国,1,0,1,0,2020-02-21 15:39:51
424,地区待确认,香港,中国,68,2,5,0,2020-02-21 15:39:51
425,地区待确认,台湾,中国,26,1,2,0,2020-02-21 15:39:51
426,西宁,青海,中国,15,0,15,0,2020-02-21 15:39:51
427,海北州,青海,中国,3,0,3,0,2020-02-21 15:39:51
428,地区待确认,澳门,中国,10,0,6,0,2020-02-21 15:39:51
429,地区待确认,西藏,中国,1,0,1,0,2020-02-21 15:39:51
