UserId	二级品类	会员创建日期	留存率分组	省	省市	销售日期	销售量
73311525183	喂养器具	2013/3/1 星期五 17:40:43	高留存率	SH	SH	2013/7/6 星期六	1
73311525183	喂养器具	2013/3/1 星期五 17:40:43	高留存率	SH	SH	2014/1/25 星期六	1
73311525183	喂养器具	2013/3/1 星期五 17:40:43	高留存率	SH	SH	2013/12/4 星期三	1
65511525407	喂养器具	2013/3/1 星期五 18:38:17	高留存率	SH	SH	2013/4/1 星期一	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2014/4/2 星期三	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2014/4/2 星期三	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2013/11/21 星期四	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2013/11/1 星期五	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2013/5/24 星期五	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2013/7/4 星期四	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2013/4/10 星期三	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2013/3/20 星期三	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2014/2/25 星期二	1
17211525526	喂养器具	2013/3/1 星期五 19:10:06	高留存率	SH	SH	2014/4/2 星期三	2
5711526209	喂养器具	2013/3/2 星期六 10:33:09	高留存率	SH	SH	2014/6/22 星期日	1
5711526209	喂养器具	2013/3/2 星期六 10:33:09	高留存率	SH	SH	2013/3/2 星期六	1
36111527815	喂养器具	2013/3/2 星期六 14:20:59	高留存率	SH	SH	2013/5/18 星期六	1
36111527815	喂养器具	2013/3/2 星期六 14:20:59	高留存率	SH	SH	2013/6/10 星期一	1
48611534869	喂养器具	2013/3/4 星期一 11:10:51	高留存率	SH	SH	2013/3/18 星期一	1
48611534869	喂养器具	2013/3/4 星期一 11:10:51	高留存率	SH	SH	2013/5/23 星期四	1
48611534869	喂养器具	2013/3/4 星期一 11:10:51	高留存率	SH	SH	2013/5/23 星期四	1
48611534869	喂养器具	2013/3/4 星期一 11:10:51	高留存率	SH	SH	2013/6/8 星期六	1
27311541948	喂养器具	2013/3/5 星期二 14:33:28	高留存率	SH	SH	2013/8/22 星期四	2
7911545281	喂养器具	2013/3/5 星期二 18:16:50	高留存率	SH	SH	2013/11/7 星期四	1
7911545281	喂养器具	2013/3/5 星期二 18:16:50	高留存率	SH	SH	2013/11/7 星期四	-1
7911545281	喂养器具	2013/3/5 星期二 18:16:50	高留存率	SH	SH	2013/11/7 星期四	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/2/26 星期三	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/2/26 星期三	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/2/26 星期三	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/2/26 星期三	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/2/26 星期三	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2013/9/2 星期一	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2013/4/13 星期六	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/2/26 星期三	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2013/3/7 星期四	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2013/3/26 星期二	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2013/3/7 星期四	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2013/3/7 星期四	1
72811550336	喂养器具	2013/3/7 星期四 11:11:00	高留存率	SH	SH	2014/5/8 星期四	1
84911550965	喂养器具	2013/3/7 星期四 13:50:44	高留存率	SH	SH	2013/8/27 星期二	1
84911550965	喂养器具	2013/3/7 星期四 13:50:44	高留存率	SH	SH	2013/8/27 星期二	1
84911550965	喂养器具	2013/3/7 星期四 13:50:44	高留存率	SH	SH	2013/8/27 星期二	-1
84911550965	喂养器具	2013/3/7 星期四 13:50:44	高留存率	SH	SH	2013/3/7 星期四	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2013/3/15 星期五	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2013/3/7 星期四	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2013/8/12 星期一	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2014/5/2 星期五	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2014/3/27 星期四	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2013/10/5 星期六	1
60811551379	喂养器具	2013/3/7 星期四 15:25:23	高留存率	SH	SH	2014/2/11 星期二	1
97711553648	喂养器具	2013/3/8 星期五 11:42:00	高留存率	SH	SH	2013/3/8 星期五	1
97711553648	喂养器具	2013/3/8 星期五 11:42:00	高留存率	SH	SH	2013/6/28 星期五	1
